quote
Accapareur
Aérolithe
Amiral de bateau-lavoir
Amphitryon
Anacoluthe
Analphabète
Analphabète diplômé
Animal
Anthracite
Anthropophage
Anthropopithèque
Apache
Apophtegme
Apprenti-dictateur à la noix de coco
Arlequin
Ascenseur
Astronaute d'eau douce
Athlète complet
Au large !
Autocrate
Autodidacte
Aztèques
Babouin
Bachi-bouzouk
Bachi-bouzouk de tonnerre de Brest
Bachi-bouzouk des Carpathes
Bande de jeunes effrontés
Bande de joyeux drilles
Bande d'ectoplasmes de tonnerre de Brest
Bande d'emplâtres
Bande d'enragés
Bande d'escrocs
Bande d'hurluberlus
Bande de bachi-bouzouks
Bande de brutes
Bande de canaques
Bande de Ku-Klux-Klans
Bande de pirates
Bande de sauvages
Bande de voleurs
Bande de zapotèques
Bande de zapotèques de tonnerre de Brest
Bandit
Bayadère de carnaval
Bibelot
Bibendum
Bidule
Blague, fumisterie et compagnie
Boit-sans-soif
Bombe atomique
Bon sang
Bonhomme
Bougre (de —)
Bougre d'ectoplasme à roulettes
Bougre d'ectoplasme de moule à gaufres
Bougre d'amiral de bateau-lavoir
Bougre de Canaque de tonnerre de Brest
Bougre de crème d'emplâtre à la graisse de hérisson
Bougre d'extrait de cornichon
Bougre d'extrait de crétin des Alpes
Bougre d'extrait d'hydrocarbure
Bougre de faux jeton à la sauce tartare
Bougre de jet d'eau ambulant
Bougre de marchand de guano
Bougre de méchant Blanc
Bougre de mouchard
Bougre d'olibrius
Bougre d'ostrogoth
Bougre de papou des Carpathes
Bougre de petit cornichon
Bougre de phénomène de tonnerre de Brest
Bougre de phénomène de moule à gaufres de tonnerre de Brest
Bougre de sauvage de tonnerre de Brest
Bougre de sauvage d'aérolithe de tonnerre de Brest
Bougre de zouave
Bougres de zouaves d'anthropopithèques
Brigand
Brontosaure
Brute
Bulldozer à réaction
Cachalot
Cake-walk
Calembredaine
Canaille
Canaque (voir aussi : bougre de Canaque de tonnerre de Brest)
Cannibale
Cannibale emplumé
Capitaine de bateau-lavoir
Casse-pieds
Catachrèse
Cataplasme
Cercopithèque
Cercueil volant
Chauffard
Chenapan (voir aussi : jeune chenapan)
Cher petit ami
Choléra (voir aussi : petit choléra)
Chouette mal empaillée
Chrysanthème
Cigare volant
Cloche à fromage
Cloporte
Clown
Clysopompe
Coléoptère
Coloquinte
Coloquinte à la graisse de hérisson
Concentré de moule à gaufres
Coquin
Cornemuse
Cornichon (voir aussi : bougre d'extrait de cornichon)
Cornichon de zouave de tonnerre de Brest
Cornichon diplômé
Corsaire
Coup de Trafalgar
Coupe-jarret
Cow-boy de la route
Crème d'emplâtre à la graisse de hérisson
Crétin de l'Himalaya
Crétin des Alpes
Crétin des Balkans
Commerce noir
Cromagnon
Cuistre
Cyanure
Cyclone
Cyclone ambulant
Cyclotron
Cyrano à quatre pattes
Diable
Diable de —
Diable de zouave
Diable les emporte (Le -)
Diable vous étripatouille (Que le -)
Diablesse
Dieu soit loué
Diplodocus
Doryphore
Doux agneaux
Dynamiteur
Écornifleur
Écraseur
Ectoplasme
Ectoplasme à roulettes (voir aussi : bougre d'ectoplasme à roulettes)
Égoïste
Électron (Travailler de l'—)
Emplâtre
Emplâtré à la graisse de hérisson
Empoisonneur
Encordé vous-même
Énergumène
Enfer et damnation
Enfonceur de porte ouverte
Enragé
Épouvantail
Équilibriste
Esclavagiste
Escogriffe
Escroc
Espèce de loup-garou à la graisse de renoncule de mille sabords
Espèce de porc-épic mal embouché
Entêté
Extrait d'emplâtre
Extrait d'hydrocarbure (voir aussi: bougre d'extrait d'hydrocarbure)
Extrait de cornichon (voir aussi : bougre d'extrait de cornichon)
Face de brute
Farceur (Voir aussi : sinistre farceur)
Fatma de prisunic
Faux frère
Faux jeton
Faux jeton à la sauce tartare (voir aussi : bougre de faux jeton à la sauce tartare)
Fichu —
Fieffé menteur
Fiston
Flibustier
Flibustier de carnaval
Flûte
Forban
Fourbe
Frère de la côte
Froussard
Gaillard
Galopin
Gamin
Gangster
Garde-côtes à la mie de pain
Gargarisme
Garnement
Gibier de potence
Goujat
Graine de vaurien
Graisse de hérisson (à la – ). Voir aussi : [bougre de] [crème d']emplâtre – , coloquinte –.
Graisse de trombone à coulisse (à la – )
Grand escogriffe
Grand lâche
Gredin
Grenouille
Gros-plein-de-soupe
Grotesque polichinelle
Gyroscope
Hérétique
Hors-la-loi
Hurluberlu
Hydrocarbure
Iconoclaste
Inca de carnaval
Invertébré
Isotope18
Ivrogne
Jet d'eau ambulant
Jeune chenapan
Jeune impertinent
Jocrisse
Judas
Jus de réglisse
Khroumir
KRRTCHMVRTZ
Ku-Klux-Klan (voir : bande de Ku-Klux-Klans)
Kanak
Lâche
Lascar
Lépidoptère
Logarithme
Loup-garou à la graisse de renoncule de mille tonnerres de Brest
Maboul
Macaque
Macrocéphale
Malappris
Malheur (— de —)
Malheureux, -se
Malotru
Mamelouk
Marchand de guano (voir aussi : bougre de marchand de guano)
Marchand de tapis
Marin d'eau douce
Marmotte mal réveillée
Maudit(e) —
Mazette
Mégacycle
Mégalomane
Mercanti
Mercenaire
Mérinos
Mérinos mal peignés
Migou de malheur
Mille milliards de—
Mille milliards de mille millions de mille sabords
Mille milliards de mille sabords
Mille milliards de mille sabords de tonnerre de Brest
Mille milliards de tonnerre de Brest
Mille millions de mille milliards de mille sabords
Mille millions de mille milliards de mille sabords de tonnerre de Brest
Mille millions de mille sabords
Mille millions de mille sabords de tonnerre de Brest
Mille millions de sabords
Mille millions de tonnerres de Brest
Mille sabords
Mille tonnerres
Mille tonnerres de Brest
Misérable
Misérable ectoplasme
Misérable ver de terre
Mitrailleur à bavette (voir aussi : sacré mitrailleur à bavette)
Moricaud
Morues dans un carton à chapeau
Mouchard (voir aussi : bougre de mouchard)
Moujik
Moule à gaufres
